Tree,Order,Start X,Start Y,Start Z,End X,End Y,End Z,Point Type,Length(µm),Length To Beginning (µm),Start Diameter(µm),End Diameter(µm),Avg Diameter(µm),Surface Area(µm²),Volume(µm³),Spines,none Spine,thin Spine,stubby Spine,mushroom Spine,filopodia Spine,branched Spine,detached Spine,other Spine
1,5,390.04,-386.75,0,390.04,-384.15,0,CP,2.6,167.8,2.4,2.4,2.4,19.201,11.3118,0,0,0,0,0,0,0,0,0
1,5,390.04,-384.15,0,390.04,-381.32,0,CP,2.8,170.6,2.4,2.4,2.4,20.9465,12.3401,0,0,0,0,0,0,0,0,0
1,5,390.04,-381.32,0,390.27,-379.44,0,CP,1.9,172.5,2.4,2.4,2.4,14.0732,8.29083,0,0,0,0,0,0,0,0,0
1,5,390.27,-379.44,0,391.22,-375.67,0,CP,3.9,176.4,2.4,2.4,2.4,28.7881,16.9598,0,0,0,0,0,0,0,0,0
1,5,391.22,-375.67,0,391.22,-373.54,0,CP,2.1,178.5,2.4,2.4,2.4,15.71,9.25513,0,0,0,0,0,0,0,0,0
1,5,391.22,-373.54,0,391.22,-370.24,0,CP,3.3,181.8,2.4,2.4,2.4,24.4375,14.3967,0,0,0,0,0,0,0,0,0
1,5,391.22,-370.24,0,391.22,-367.41,0,CP,2.8,184.7,2.4,2.4,2.4,20.9465,12.3401,0,0,0,0,0,0,0,0,0
1,5,391.22,-367.41,0,391.22,-365.06,0,CP,2.4,187,2.4,2.4,2.4,17.4555,10.2835,0,0,0,0,0,0,0,0,0
1,5,391.22,-365.06,0,390.98,-362.7,0,CP,2.4,189.4,2.4,2.4,2.4,17.5426,10.3347,0,0,0,0,0,0,0,0,0
1,5,390.98,-362.7,0,390.98,-359.63,0,CP,3.1,192.5,2.4,2.4,2.4,22.692,13.3684,0,0,0,0,0,0,0,0,0
1,5,390.98,-359.63,0,391.99,-358.23,0,BP,1.7,194.2,2.4,2.4,2.4,12.7616,7.51815,0,0,0,0,0,0,0,0,0
1,6,391.99,-358.23,0,390.98,-357.98,0,CP,1,195.2,2.4,2.4,2.4,7.68682,4.52849,0,0,0,0,0,0,0,0,0
1,6,390.98,-357.98,0,389.03,-355.81,0,CP,2.9,198.1,2.4,1.6,2,18.3707,9.15058,0,0,0,0,0,0,0,0,0
1,6,389.03,-355.81,0,387.68,-352.85,0,CP,3.3,201.4,1.6,1.9,1.7,17.8908,7.83045,0,0,0,0,0,0,0,0,0
1,6,387.68,-352.85,0,387.41,-349.89,0,CP,3,204.4,1.9,1.9,1.9,17.5985,8.28628,0,0,0,0,0,0,0,0,0
1,6,387.41,-349.89,0,387.41,-347.73,0,CP,2.2,206.5,1.9,1.9,1.9,12.7464,6.00166,0,0,0,0,0,0,0,0,0
1,6,387.41,-347.73,0,387.41,-345.31,0,CP,2.4,208.9,1.9,1.9,1.9,14.3396,6.7518,0,0,0,0,0,0,0,0,0
1,6,387.41,-345.31,0,387.41,-343.42,0,CP,1.9,210.8,1.9,1.9,1.9,11.153,5.25143,0,0,0,0,0,0,0,0,0
1,6,387.41,-343.42,0,387.41,-341.81,0,CP,1.6,212.4,1.9,1.9,1.9,9.5597,4.5012,0,0,0,0,0,0,0,0,0
1,6,387.41,-341.81,0,387.41,-340.46,0,CP,1.3,213.8,1.9,1.9,1.9,7.96636,3.75097,0,0,0,0,0,0,0,0,0
1,6,387.41,-340.46,0,386.87,-339.11,0,CP,1.5,215.2,1.9,1.9,1.9,8.58025,4.04002,0,0,0,0,0,0,0,0,0
1,6,386.87,-339.11,0,386.6,-337.5,0,CP,1.6,216.9,1.9,1.9,1.9,9.69158,4.56329,0,0,0,0,0,0,0,0,0
1,6,386.6,-337.5,0,386.06,-336.42,0,CP,1.2,218.1,1.9,1.9,1.9,7.12541,3.35501,0,0,0,0,0,0,0,0,0
1,6,386.06,-336.42,0,385.53,-335.34,0,CP,1.2,219.3,1.9,1.9,1.9,7.12541,3.35501,0,0,0,0,0,0,0,0,0
1,6,385.53,-335.34,0,384.99,-334,0,CP,1.5,220.7,1.9,1.9,1.9,8.58008,4.03995,0,0,0,0,0,0,0,0,0
1,6,384.99,-334,0,383.91,-332.65,0,CP,1.7,222.5,1.9,1.9,1.9,10.202,4.80363,0,0,0,0,0,0,0,0,0
1,6,383.91,-332.65,0,382.29,-329.96,0,CP,3.1,225.6,1.9,1.9,1.9,18.5809,8.74883,0,0,0,0,0,0,0,0,0
1,6,382.29,-329.96,0,381.22,-328.88,0,CP,1.5,227.1,1.9,1.9,1.9,9.01293,4.24375,0,0,0,0,0,0,0,0,0
1,6,381.22,-328.88,0,379.33,-327.54,0,CP,2.3,229.4,1.9,1.9,1.9,13.7061,6.45352,0,0,0,0,0,0,0,0,0
1,6,379.33,-327.54,0,377.45,-324.3,0,CP,3.7,233.2,1.9,1.9,1.9,22.1348,10.4222,0,0,0,0,0,0,0,0,0
1,6,377.45,-324.3,0,376.1,-323.23,0,CP,1.7,234.9,1.9,1.9,1.9,10.2019,4.80357,0,0,0,0,0,0,0,0,0
1,6,376.1,-323.23,0,374.75,-321.88,0,CP,1.9,236.8,1.9,1.9,1.9,11.2661,5.30468,0,0,0,0,0,0,0,0,0
1,6,374.75,-321.88,0,374.22,-318.65,0,CP,3.3,240.1,1.9,1.9,1.9,19.3833,9.12667,0,0,0,0,0,0,0,0,0
1,6,374.22,-318.65,0,374.22,-317.03,0,CP,1.6,241.7,1.9,1.9,1.9,9.5597,4.5012,0,0,0,0,0,0,0,0,0
1,6,374.22,-317.03,0,374.22,-315.15,0,CP,1.9,243.6,1.9,1.9,1.9,11.153,5.25143,0,0,0,0,0,0,0,0,0
1,6,374.22,-315.15,0,374.22,-313.26,0,CP,1.9,245.5,1.9,1.9,1.9,11.153,5.25143,0,0,0,0,0,0,0,0,0
1,6,374.22,-313.26,0,376.37,-310.84,0,CP,3.2,248.7,1.9,1.9,1.9,19.1858,9.03364,0,0,0,0,0,0,0,0,0
1,6,376.37,-310.84,0,376.91,-310.03,0,CP,1,249.7,1.9,1.9,1.9,5.74478,2.70494,0,0,0,0,0,0,0,0,0
1,6,376.91,-310.03,0,378.25,-305.99,0,CP,4.3,253.9,1.9,1.9,1.9,25.1919,11.8616,0,0,0,0,0,0,0,0,0
